Insert , Search
4.81587e-06 , 5.1749e-07
4.85576e-06 , 5.4786e-07
4.8238e-06 , 5.3594e-07
4.90292e-06 , 5.8383e-07
7.18788e-06 , 5.4944e-07
5.81917e-06 , 5.4568e-07
4.61602e-06 , 5.9549e-07
4.63126e-06 , 5.3612e-07
4.62665e-06 , 5.861e-07
4.66056e-06 , 5.5143e-07
4.63699e-06 , 5.7648e-07
4.81513e-06 , 5.4754e-07
4.71346e-06 , 4.8455e-07
5.63069e-06 , 6.6849e-07
4.89106e-06 , 5.5832e-07
4.93346e-06 , 5.2607e-07
4.9828e-06 , 5.1358e-07
5.33852e-06 , 5.6768e-07
5.02478e-06 , 6.0662e-07
4.98891e-06 , 6.3196e-07
6.04365e-06 , 5.4113e-07
5.25435e-06 , 5.5559e-07
5.20046e-06 , 4.9935e-07
5.24847e-06 , 6.0118e-07
5.175e-06 , 5.7568e-07
5.8974e-06 , 6.3688e-07
5.28059e-06 , 6.5511e-07
5.3301e-06 , 5.6913e-07
5.28712e-06 , 6.1497e-07
5.32694e-06 , 5.3895e-07
5.33161e-06 , 6.7288e-07
5.34007e-06 , 7.2023e-07
6.25033e-06 , 6.5187e-07
5.58052e-06 , 8.6223e-07
5.49467e-06 , 8.0427e-07
5.50027e-06 , 6.9949e-07
5.50816e-06 , 7.597e-07
5.93565e-06 , 7.6867e-07
7.79277e-06 , 1.50185e-06
1.92628e-05 , 1.34308e-06
6.31796e-06 , 8.3942e-07
6.78159e-06 , 8.9748e-07
6.93707e-06 , 9.2741e-07
6.21331e-06 , 9.4539e-07
6.09173e-06 , 1.01214e-06
6.78355e-06 , 7.1827e-07
5.46371e-06 , 6.8344e-07
5.44679e-06 , 5.4896e-07
6.61528e-06 , 7.6639e-07
5.77964e-06 , 6.9423e-07
5.71822e-06 , 7.4684e-07
5.68306e-06 , 7.3879e-07
5.71625e-06 , 5.5749e-07
5.7289e-06 , 6.3441e-07
5.76907e-06 , 6.3234e-07
5.72369e-06 , 7.7527e-07
5.80098e-06 , 7.5177e-07
6.31014e-06 , 6.5736e-07
6.09995e-06 , 7.4477e-07
5.79517e-06 , 7.9831e-07
5.88753e-06 , 8.0501e-07
5.96611e-06 , 8.6405e-07
5.97693e-06 , 9.0606e-07
7.78137e-06 , 1.58557e-06
1.05414e-05 , 1.64576e-06
6.77317e-06 , 1.24022e-06
7.55523e-06 , 8.7849e-07
6.46911e-06 , 9.1698e-07
6.05113e-06 , 7.4142e-07
5.98077e-06 , 8.5537e-07
